17/02/06-23:10:06 | Phase 1 | BEGIN | Parameter initialization
17/02/06-23:24:59 | Phase 2 | < 16 , 44 > Zeros   | 0.216167534308508
17/02/06-23:24:59 | Phase 2 | < 16 , 44 > Num zeros  | 1
17/02/06-23:24:59 | Phase 2 | < 16 , 45 > NI_PLUS   | 99
17/02/06-23:24:59 | Phase 2 | < 16 , 45 > NI_MINUS   | 88
17/02/06-23:24:59 | Phase 2 | < 16 , 45 > h_plus   | 0.218466666666667
17/02/06-23:24:59 | Phase 2 | < 16 , 45 > fraction   | 1.125
17/02/06-23:24:59 | Phase 2 | < 16 , 45 > h_minus   | 0.245775
17/02/06-23:25:00 | Phase 2 | < 16 , 45 > ACC[var,h]  | 0.939393939393939
17/02/06-23:25:00 | Phase 2 | < 16 , 45 > Zeros   | 0.212460335348124
17/02/06-23:25:00 | Phase 2 | < 16 , 45 > Num zeros  | 1
17/02/06-23:25:00 | Phase 2 | < 16 , 46 > NI_PLUS   | 99
17/02/06-23:25:00 | Phase 2 | < 16 , 46 > NI_MINUS   | 88
17/02/06-23:25:00 | Phase 2 | < 16 , 46 > h_plus   | 0.223427272727273
17/02/06-23:25:00 | Phase 2 | < 16 , 46 > fraction   | 1.125
17/02/06-23:25:00 | Phase 2 | < 16 , 46 > h_minus   | 0.251355681818182
17/02/06-23:25:00 | Phase 2 | < 16 , 46 > ACC[var,h]  | 0.940656565656566
17/02/06-23:25:00 | Phase 2 | < 16 , 46 > Zeros   | 0.208726155044727
17/02/06-23:25:00 | Phase 2 | < 16 , 46 > Num zeros  | 1
17/02/06-23:25:00 | Phase 2 | < 16 , 47 > NI_PLUS   | 99
17/02/06-23:25:00 | Phase 2 | < 16 , 47 > NI_MINUS   | 88
17/02/06-23:25:00 | Phase 2 | < 16 , 47 > h_plus   | 0.228387878787879
17/02/06-23:25:00 | Phase 2 | < 16 , 47 > fraction   | 1.125
17/02/06-23:25:00 | Phase 2 | < 16 , 47 > h_minus   | 0.256936363636364
17/02/06-23:25:01 | Phase 2 | < 16 , 47 > ACC[var,h]  | 0.933080808080808
17/02/06-23:25:01 | Phase 2 | < 16 , 47 > Zeros   | 0.204966211081219
17/02/06-23:25:01 | Phase 2 | < 16 , 47 > Num zeros  | 1
17/02/06-23:25:01 | Phase 2 | < 16 , 48 > NI_PLUS   | 99
17/02/06-23:25:01 | Phase 2 | < 16 , 48 > NI_MINUS   | 88
17/02/06-23:25:01 | Phase 2 | < 16 , 48 > h_plus   | 0.233348484848485
17/02/06-23:25:01 | Phase 2 | < 16 , 48 > fraction   | 1.125
17/02/06-23:25:01 | Phase 2 | < 16 , 48 > h_minus   | 0.262517045454545
17/02/06-23:25:01 | Phase 2 | < 16 , 48 > ACC[var,h]  | 0.957070707070707
17/02/06-23:25:01 | Phase 2 | < 16 , 48 > Zeros   | 0.201181656626359
17/02/06-23:25:01 | Phase 2 | < 16 , 48 > Num zeros  | 1
17/02/06-23:25:01 | Phase 2 | < 16 , 49 > NI_PLUS   | 99
17/02/06-23:25:01 | Phase 2 | < 16 , 49 > NI_MINUS   | 88
17/02/06-23:25:01 | Phase 2 | < 16 , 49 > h_plus   | 0.238309090909091
17/02/06-23:25:01 | Phase 2 | < 16 , 49 > fraction   | 1.125
17/02/06-23:25:01 | Phase 2 | < 16 , 49 > h_minus   | 0.268097727272727
17/02/06-23:25:02 | Phase 2 | < 16 , 49 > ACC[var,h]  | 0.958333333333333
17/02/06-23:25:02 | Phase 2 | < 16 , 49 > Zeros   | 0.197373583939003
17/02/06-23:25:02 | Phase 2 | < 16 , 49 > Num zeros  | 1
17/02/06-23:25:02 | Phase 2 | < 16 , 50 > NI_PLUS   | 99
17/02/06-23:25:02 | Phase 2 | < 16 , 50 > NI_MINUS   | 88
17/02/06-23:25:02 | Phase 2 | < 16 , 50 > h_plus   | 0.243269696969697
17/02/06-23:25:02 | Phase 2 | < 16 , 50 > fraction   | 1.125
17/02/06-23:25:02 | Phase 2 | < 16 , 50 > h_minus   | 0.273678409090909
17/02/06-23:25:02 | Phase 2 | < 16 , 50 > ACC[var,h]  | 0.938131313131313
17/02/06-23:25:02 | Phase 2 | < 16 , 50 > Zeros   | 0.193543027793537
17/02/06-23:25:02 | Phase 2 | < 16 , 50 > Num zeros  | 1
17/02/06-23:25:02 | Phase 2 | < 16 , 51 > NI_PLUS   | 99
17/02/06-23:25:02 | Phase 2 | < 16 , 51 > NI_MINUS   | 88
17/02/06-23:25:02 | Phase 2 | < 16 , 51 > h_plus   | 0.248230303030303
17/02/06-23:25:02 | Phase 2 | < 16 , 51 > fraction   | 1.125
17/02/06-23:25:02 | Phase 2 | < 16 , 51 > h_minus   | 0.279259090909091
17/02/06-23:25:03 | Phase 2 | < 16 , 51 > ACC[var,h]  | 0.928030303030303
17/02/06-23:25:03 | Phase 2 | < 16 , 51 > Zeros   | 0.189690968729295
17/02/06-23:25:03 | Phase 2 | < 16 , 51 > Num zeros  | 1
17/02/06-23:25:03 | Phase 2 | < 16 , 52 > NI_PLUS   | 99
17/02/06-23:25:03 | Phase 2 | < 16 , 52 > NI_MINUS   | 88
17/02/06-23:25:03 | Phase 2 | < 16 , 52 > h_plus   | 0.253190909090909
17/02/06-23:25:03 | Phase 2 | < 16 , 52 > fraction   | 1.125
17/02/06-23:25:03 | Phase 2 | < 16 , 52 > h_minus   | 0.284839772727273
17/02/06-23:25:03 | Phase 2 | < 16 , 52 > ACC[var,h]  | 0.907828282828283
17/02/06-23:25:03 | Phase 2 | < 16 , 52 > Zeros   | 0.185818336128043
17/02/06-23:25:03 | Phase 2 | < 16 , 52 > Num zeros  | 1
17/02/06-23:25:03 | Phase 2 | < 16 , 53 > NI_PLUS   | 99
17/02/06-23:25:03 | Phase 2 | < 16 , 53 > NI_MINUS   | 88
17/02/06-23:25:03 | Phase 2 | < 16 , 53 > h_plus   | 0.258151515151515
17/02/06-23:25:03 | Phase 2 | < 16 , 53 > fraction   | 1.125
17/02/06-23:25:03 | Phase 2 | < 16 , 53 > h_minus   | 0.290420454545455
17/02/06-23:25:04 | Phase 2 | < 16 , 53 > ACC[var,h]  | 0.907828282828283
17/02/06-23:25:04 | Phase 2 | < 16 , 53 > Zeros   | 0.18192601112459
17/02/06-23:25:04 | Phase 2 | < 16 , 53 > Num zeros  | 1
17/02/06-23:25:04 | Phase 2 | < 16 , 54 > NI_PLUS   | 99
17/02/06-23:25:04 | Phase 2 | < 16 , 54 > NI_MINUS   | 88
17/02/06-23:25:04 | Phase 2 | < 16 , 54 > h_plus   | 0.263112121212121
17/02/06-23:25:04 | Phase 2 | < 16 , 54 > fraction   | 1.125
17/02/06-23:25:04 | Phase 2 | < 16 , 54 > h_minus   | 0.296001136363636
17/02/06-23:25:04 | Phase 2 | < 16 , 54 > ACC[var,h]  | 0.830808080808081
17/02/06-23:25:04 | Phase 2 | < 16 , 54 > Zeros   | 0.17801482935631, 0.705389807124964
17/02/06-23:25:05 | Phase 2 | < 16 , 54 > Num zeros  | 2
17/02/06-23:25:05 | Phase 2 | < 16 , 55 > NI_PLUS   | 99
17/02/06-23:25:05 | Phase 2 | < 16 , 55 > NI_MINUS   | 88
17/02/06-23:25:05 | Phase 2 | < 16 , 55 > h_plus   | 0.268072727272727
17/02/06-23:25:05 | Phase 2 | < 16 , 55 > fraction   | 1.125
17/02/06-23:25:05 | Phase 2 | < 16 , 55 > h_minus   | 0.301581818181818
17/02/06-23:25:05 | Phase 2 | < 16 , 55 > ACC[var,h]  | 0.820707070707071
17/02/06-23:25:05 | Phase 2 | < 16 , 55 > Zeros   | 0.174085583557858, 0.705788141198106
17/02/06-23:25:05 | Phase 2 | < 16 , 55 > Num zeros  | 2
17/02/06-23:25:05 | Phase 2 | < 16 , 56 > NI_PLUS   | 99
17/02/06-23:25:05 | Phase 2 | < 16 , 56 > NI_MINUS   | 88
17/02/06-23:25:05 | Phase 2 | < 16 , 56 > h_plus   | 0.273033333333333
17/02/06-23:25:05 | Phase 2 | < 16 , 56 > fraction   | 1.125
17/02/06-23:25:05 | Phase 2 | < 16 , 56 > h_minus   | 0.3071625
17/02/06-23:25:06 | Phase 2 | < 16 , 56 > ACC[var,h]  | 0.811868686868687
17/02/06-23:25:06 | Phase 2 | < 16 , 56 > Zeros   | 0.170139026007679, 0.70659277950221
17/02/06-23:25:06 | Phase 2 | < 16 , 56 > Num zeros  | 2
17/02/06-23:25:06 | Phase 2 | < 16 , 57 > NI_PLUS   | 99
17/02/06-23:25:06 | Phase 2 | < 16 , 57 > NI_MINUS   | 88
17/02/06-23:25:06 | Phase 2 | < 16 , 57 > h_plus   | 0.277993939393939
17/02/06-23:25:06 | Phase 2 | < 16 , 57 > fraction   | 1.125
17/02/06-23:25:06 | Phase 2 | < 16 , 57 > h_minus   | 0.312743181818182
17/02/06-23:25:06 | Phase 2 | < 16 , 57 > ACC[var,h]  | 0.857323232323232
17/02/06-23:25:06 | Phase 2 | < 16 , 57 > Zeros   | 0.16617587083311, 0.708407010830629
17/02/06-23:25:06 | Phase 2 | < 16 , 57 > Num zeros  | 2
17/02/06-23:25:06 | Phase 2 | < 16 , 58 > NI_PLUS   | 99
17/02/06-23:25:06 | Phase 2 | < 16 , 58 > NI_MINUS   | 88
17/02/06-23:25:06 | Phase 2 | < 16 , 58 > h_plus   | 0.282954545454545
17/02/06-23:25:06 | Phase 2 | < 16 , 58 > fraction   | 1.125
17/02/06-23:25:06 | Phase 2 | < 16 , 58 > h_minus   | 0.318323863636364
17/02/06-23:25:07 | Phase 2 | < 16 , 58 > ACC[var,h]  | 0.857323232323232
17/02/06-23:25:07 | Phase 2 | < 16 , 58 > Zeros   | 0.162196796180913, 0.71031913858881
17/02/06-23:25:07 | Phase 2 | < 16 , 58 > Num zeros  | 2
17/02/06-23:25:07 | Phase 2 | < 16 , 59 > NI_PLUS   | 99
17/02/06-23:25:07 | Phase 2 | < 16 , 59 > NI_MINUS   | 88
17/02/06-23:25:07 | Phase 2 | < 16 , 59 > h_plus   | 0.287915151515152
17/02/06-23:25:07 | Phase 2 | < 16 , 59 > fraction   | 1.125
17/02/06-23:25:07 | Phase 2 | < 16 , 59 > h_minus   | 0.323904545454545
17/02/06-23:25:07 | Phase 2 | < 16 , 59 > ACC[var,h]  | 0.857323232323232
17/02/06-23:25:07 | Phase 2 | < 16 , 59 > Zeros   | 0.158202446260089, 0.712240895913054
17/02/06-23:25:07 | Phase 2 | < 16 , 59 > Num zeros  | 2
17/02/06-23:25:07 | Phase 2 | < 16 , 60 > NI_PLUS   | 99
17/02/06-23:25:07 | Phase 2 | < 16 , 60 > NI_MINUS   | 88
17/02/06-23:25:07 | Phase 2 | < 16 , 60 > h_plus   | 0.292875757575758
17/02/06-23:25:07 | Phase 2 | < 16 , 60 > fraction   | 1.125
17/02/06-23:25:07 | Phase 2 | < 16 , 60 > h_minus   | 0.329485227272727
17/02/06-23:25:08 | Phase 2 | < 16 , 60 > ACC[var,h]  | 0.868686868686869
17/02/06-23:25:08 | Phase 2 | < 16 , 60 > Zeros   | 0.154193433263674, 0.714171929425059
17/02/06-23:25:08 | Phase 2 | < 16 , 60 > Num zeros  | 2
17/02/06-23:25:08 | Phase 2 | < 16 , 61 > NI_PLUS   | 99
17/02/06-23:25:08 | Phase 2 | < 16 , 61 > NI_MINUS   | 88
17/02/06-23:25:08 | Phase 2 | < 16 , 61 > h_plus   | 0.297836363636364
17/02/06-23:25:08 | Phase 2 | < 16 , 61 > fraction   | 1.125
17/02/06-23:25:08 | Phase 2 | < 16 , 61 > h_minus   | 0.335065909090909
17/02/06-23:25:08 | Phase 2 | < 16 , 61 > ACC[var,h]  | 0.859848484848485
17/02/06-23:25:08 | Phase 2 | < 16 , 61 > Zeros   | 0.150170339176142, 0.716246822061233
17/02/06-23:25:08 | Phase 2 | < 16 , 61 > Num zeros  | 2
17/02/06-23:25:08 | Phase 2 | < 16 , 62 > NI_PLUS   | 99
17/02/06-23:25:08 | Phase 2 | < 16 , 62 > NI_MINUS   | 88
17/02/06-23:25:08 | Phase 2 | < 16 , 62 > h_plus   | 0.30279696969697
17/02/06-23:25:08 | Phase 2 | < 16 , 62 > fraction   | 1.125
17/02/06-23:25:08 | Phase 2 | < 16 , 62 > h_minus   | 0.340646590909091
17/02/06-23:25:09 | Phase 2 | < 16 , 62 > ACC[var,h]  | 0.849747474747475
17/02/06-23:25:09 | Phase 2 | < 16 , 62 > Zeros   | 0.146133717472761, 0.718687615691456
17/02/06-23:25:09 | Phase 2 | < 16 , 62 > Num zeros  | 2
17/02/06-23:25:09 | Phase 2 | < 16 , 63 > NI_PLUS   | 99
17/02/06-23:25:09 | Phase 2 | < 16 , 63 > NI_MINUS   | 88
17/02/06-23:25:09 | Phase 2 | < 16 , 63 > h_plus   | 0.307757575757576
17/02/06-23:25:09 | Phase 2 | < 16 , 63 > fraction   | 1.125
17/02/06-23:25:09 | Phase 2 | < 16 , 63 > h_minus   | 0.346227272727273
17/02/06-23:25:10 | Phase 2 | < 16 , 63 > ACC[var,h]  | 0.851010101010101
17/02/06-23:25:10 | Phase 2 | < 16 , 63 > Zeros   | 0.142084094717096, 0.721278660123284
17/02/06-23:25:10 | Phase 2 | < 16 , 63 > Num zeros  | 2
17/02/06-23:25:10 | Phase 2 | < 16 , 64 > NI_PLUS   | 99
17/02/06-23:25:10 | Phase 2 | < 16 , 64 > NI_MINUS   | 88
17/02/06-23:25:10 | Phase 2 | < 16 , 64 > h_plus   | 0.312718181818182
17/02/06-23:25:10 | Phase 2 | < 16 , 64 > fraction   | 1.125
17/02/06-23:25:10 | Phase 2 | < 16 , 64 > h_minus   | 0.351807954545455
17/02/06-23:25:10 | Phase 2 | < 16 , 64 > ACC[var,h]  | 0.853535353535353
17/02/06-23:25:10 | Phase 2 | < 16 , 64 > Zeros   | 0.138021972062573, 0.723965562435616
17/02/06-23:25:10 | Phase 2 | < 16 , 64 > Num zeros  | 2
17/02/06-23:25:10 | Phase 2 | < 16 , 65 > NI_PLUS   | 99
17/02/06-23:25:10 | Phase 2 | < 16 , 65 > NI_MINUS   | 88
17/02/06-23:25:10 | Phase 2 | < 16 , 65 > h_plus   | 0.317678787878788
17/02/06-23:25:10 | Phase 2 | < 16 , 65 > fraction   | 1.125
17/02/06-23:25:10 | Phase 2 | < 16 , 65 > h_minus   | 0.357388636363636
17/02/06-23:25:11 | Phase 2 | < 16 , 65 > ACC[var,h]  | 0.86489898989899
17/02/06-23:25:11 | Phase 2 | < 16 , 65 > Zeros   | 0.133947826663767, 0.726377270376569
17/02/06-23:25:11 | Phase 2 | < 16 , 65 > Num zeros  | 2
17/02/06-23:25:11 | Phase 2 | < 16 , 66 > NI_PLUS   | 99
17/02/06-23:25:11 | Phase 2 | < 16 , 66 > NI_MINUS   | 88
17/02/06-23:25:11 | Phase 2 | < 16 , 66 > h_plus   | 0.322639393939394
17/02/06-23:25:11 | Phase 2 | < 16 , 66 > fraction   | 1.125
17/02/06-23:25:11 | Phase 2 | < 16 , 66 > h_minus   | 0.362969318181818
17/02/06-23:25:12 | Phase 2 | < 16 , 66 > ACC[var,h]  | 0.866161616161616
17/02/06-23:25:12 | Phase 2 | < 16 , 66 > Zeros   | 0.12986211300282, 0.728794627371615
17/02/06-23:25:12 | Phase 2 | < 16 , 66 > Num zeros  | 2
17/02/06-23:25:12 | Phase 2 | < 16 , 67 > NI_PLUS   | 99
17/02/06-23:25:12 | Phase 2 | < 16 , 67 > NI_MINUS   | 88
17/02/06-23:25:12 | Phase 2 | < 16 , 67 > h_plus   | 0.3276
17/02/06-23:25:12 | Phase 2 | < 16 , 67 > fraction   | 1.125
17/02/06-23:25:12 | Phase 2 | < 16 , 67 > h_minus   | 0.36855
17/02/06-23:25:12 | Phase 2 | < 16 , 67 > ACC[var,h]  | 0.888888888888889
17/02/06-23:25:12 | Phase 2 | < 16 , 67 > Zeros   | 0.125765264136117, 0.731217414009938
17/02/06-23:25:12 | Phase 2 | < 16 , 67 > Num zeros  | 2
17/02/06-23:25:12 | Phase 2 | < 16 , 68 > NI_PLUS   | 99
17/02/06-23:25:12 | Phase 2 | < 16 , 68 > NI_MINUS   | 88
17/02/06-23:25:12 | Phase 2 | < 16 , 68 > h_plus   | 0.332560606060606
17/02/06-23:25:12 | Phase 2 | < 16 , 68 > fraction   | 1.125
17/02/06-23:25:12 | Phase 2 | < 16 , 68 > h_minus   | 0.374130681818182
17/02/06-23:25:13 | Phase 2 | < 16 , 68 > ACC[var,h]  | 0.912878787878788
17/02/06-23:25:13 | Phase 2 | < 16 , 68 > Zeros   | 0.121657692866093, 0.733645421642249
17/02/06-23:25:13 | Phase 2 | < 16 , 68 > Num zeros  | 2
17/02/06-23:25:13 | Phase 2 | < 16 , 69 > NI_PLUS   | 99
17/02/06-23:25:13 | Phase 2 | < 16 , 69 > NI_MINUS   | 88
17/02/06-23:25:13 | Phase 2 | < 16 , 69 > h_plus   | 0.337521212121212
17/02/06-23:25:13 | Phase 2 | < 16 , 69 > fraction   | 1.125
17/02/06-23:25:13 | Phase 2 | < 16 , 69 > h_minus   | 0.379711363636364
17/02/06-23:25:13 | Phase 2 | < 16 , 69 > ACC[var,h]  | 0.892676767676768
17/02/06-23:25:13 | Phase 2 | < 16 , 69 > Zeros   | 0.11753979284276, 0.736140682034599
17/02/06-23:25:13 | Phase 2 | < 16 , 69 > Num zeros  | 2
17/02/06-23:25:13 | Phase 2 | < 16 , 70 > NI_PLUS   | 99
17/02/06-23:25:13 | Phase 2 | < 16 , 70 > NI_MINUS   | 88
17/02/06-23:25:13 | Phase 2 | < 16 , 70 > h_plus   | 0.342481818181818
17/02/06-23:25:13 | Phase 2 | < 16 , 70 > fraction   | 1.125
17/02/06-23:25:13 | Phase 2 | < 16 , 70 > h_minus   | 0.385292045454545
17/02/06-23:25:14 | Phase 2 | < 16 , 70 > ACC[var,h]  | 0.90530303030303
17/02/06-23:25:14 | Phase 2 | < 16 , 70 > Zeros   | 0.113411939599322, 0.738932356762706
17/02/06-23:25:14 | Phase 2 | < 16 , 70 > Num zeros  | 2
17/02/06-23:25:14 | Phase 2 | < 16 , 71 > NI_PLUS   | 99
17/02/06-23:25:14 | Phase 2 | < 16 , 71 > NI_MINUS   | 88
17/02/06-23:25:14 | Phase 2 | < 16 , 71 > h_plus   | 0.347442424242424
17/02/06-23:25:14 | Phase 2 | < 16 , 71 > fraction   | 1.125
17/02/06-23:25:14 | Phase 2 | < 16 , 71 > h_minus   | 0.390872727272727
17/02/06-23:25:15 | Phase 2 | < 16 , 71 > ACC[var,h]  | 0.909090909090909
17/02/06-23:25:15 | Phase 2 | < 16 , 71 > Zeros   | 0.109274491525953, 0.741888951793297
17/02/06-23:25:15 | Phase 2 | < 16 , 71 > Num zeros  | 2
17/02/06-23:25:15 | Phase 2 | < 16 , 72 > NI_PLUS   | 99
17/02/06-23:25:15 | Phase 2 | < 16 , 72 > NI_MINUS   | 88
17/02/06-23:25:15 | Phase 2 | < 16 , 72 > h_plus   | 0.35240303030303
17/02/06-23:25:15 | Phase 2 | < 16 , 72 > fraction   | 1.125
17/02/06-23:25:15 | Phase 2 | < 16 , 72 > h_minus   | 0.396453409090909
17/02/06-23:25:15 | Phase 2 | < 16 , 72 > ACC[var,h]  | 0.909090909090909
17/02/06-23:25:15 | Phase 2 | < 16 , 72 > Zeros   | 0.105127790785607, 0.744951804461624
17/02/06-23:25:15 | Phase 2 | < 16 , 72 > Num zeros  | 2
17/02/06-23:25:15 | Phase 2 | < 16 , 73 > NI_PLUS   | 99
17/02/06-23:25:15 | Phase 2 | < 16 , 73 > NI_MINUS   | 88
17/02/06-23:25:15 | Phase 2 | < 16 , 73 > h_plus   | 0.357363636363636
17/02/06-23:25:15 | Phase 2 | < 16 , 73 > fraction   | 1.125
17/02/06-23:25:15 | Phase 2 | < 16 , 73 > h_minus   | 0.402034090909091
17/02/06-23:25:16 | Phase 2 | < 16 , 73 > ACC[var,h]  | 0.909090909090909
17/02/06-23:25:16 | Phase 2 | < 16 , 73 > Zeros   | 0.100972164175486, 0.74797653796857
17/02/06-23:25:16 | Phase 2 | < 16 , 73 > Num zeros  | 2
17/02/06-23:25:16 | Phase 2 | < 16 , 74 > NI_PLUS   | 99
17/02/06-23:25:16 | Phase 2 | < 16 , 74 > NI_MINUS   | 88
17/02/06-23:25:16 | Phase 2 | < 16 , 74 > h_plus   | 0.362324242424242
17/02/06-23:25:16 | Phase 2 | < 16 , 74 > fraction   | 1.125
17/02/06-23:25:16 | Phase 2 | < 16 , 74 > h_minus   | 0.407614772727273
17/02/06-23:25:17 | Phase 2 | < 16 , 74 > ACC[var,h]  | 0.898989898989899
17/02/06-23:25:17 | Phase 2 | < 16 , 74 > Zeros   | 0.0968079239375615, 0.750792308711467
17/02/06-23:25:17 | Phase 2 | < 16 , 74 > Num zeros  | 2
17/02/06-23:25:17 | Phase 2 | < 16 , 75 > NI_PLUS   | 99
17/02/06-23:25:17 | Phase 2 | < 16 , 75 > NI_MINUS   | 88
17/02/06-23:25:17 | Phase 2 | < 16 , 75 > h_plus   | 0.367284848484848
17/02/06-23:25:17 | Phase 2 | < 16 , 75 > fraction   | 1.125
17/02/06-23:25:17 | Phase 2 | < 16 , 75 > h_minus   | 0.413195454545455
17/02/06-23:25:18 | Phase 2 | < 16 , 75 > ACC[var,h]  | 0.898989898989899
17/02/06-23:25:18 | Phase 2 | < 16 , 75 > Zeros   | 0.0926353685213579, 0.753818771649622
17/02/06-23:25:18 | Phase 2 | < 16 , 75 > Num zeros  | 2
17/02/06-23:25:18 | Phase 2 | < 16 , 76 > NI_PLUS   | 99
17/02/06-23:25:18 | Phase 2 | < 16 , 76 > NI_MINUS   | 88
17/02/06-23:25:18 | Phase 2 | < 16 , 76 > h_plus   | 0.372245454545455
17/02/06-23:25:18 | Phase 2 | < 16 , 76 > fraction   | 1.125
17/02/06-23:25:18 | Phase 2 | < 16 , 76 > h_minus   | 0.418776136363636
17/02/06-23:25:18 | Phase 2 | < 16 , 76 > ACC[var,h]  | 0.922979797979798
17/02/06-23:25:18 | Phase 2 | < 16 , 76 > Zeros   | 0.0884547833019858, 0.756846609308237
17/02/06-23:25:18 | Phase 2 | < 16 , 76 > Num zeros  | 2
17/02/06-23:25:18 | Phase 2 | < 16 , 77 > NI_PLUS   | 99
17/02/06-23:25:18 | Phase 2 | < 16 , 77 > NI_MINUS   | 88
17/02/06-23:25:18 | Phase 2 | < 16 , 77 > h_plus   | 0.377206060606061
17/02/06-23:25:18 | Phase 2 | < 16 , 77 > fraction   | 1.125
17/02/06-23:25:18 | Phase 2 | < 16 , 77 > h_minus   | 0.424356818181818
17/02/06-23:25:19 | Phase 2 | < 16 , 77 > ACC[var,h]  | 0.934343434343434
17/02/06-23:25:19 | Phase 2 | < 16 , 77 > Zeros   | 0.0842664412562363, 0.759891531572785
17/02/06-23:25:19 | Phase 2 | < 16 , 77 > Num zeros  | 2
17/02/06-23:25:19 | Phase 2 | < 16 , 78 > NI_PLUS   | 99
17/02/06-23:25:19 | Phase 2 | < 16 , 78 > NI_MINUS   | 88
17/02/06-23:25:19 | Phase 2 | < 16 , 78 > h_plus   | 0.382166666666667
17/02/06-23:25:19 | Phase 2 | < 16 , 78 > fraction   | 1.125
17/02/06-23:25:19 | Phase 2 | < 16 , 78 > h_minus   | 0.4299375
17/02/06-23:25:20 | Phase 2 | < 16 , 78 > ACC[var,h]  | 0.945707070707071
17/02/06-23:25:20 | Phase 2 | < 16 , 78 > Zeros   | 0.0800706035993662, 0.763300138566882
17/02/06-23:25:20 | Phase 2 | < 16 , 78 > Num zeros  | 2
17/02/06-23:25:20 | Phase 2 | < 16 , 79 > NI_PLUS   | 99
17/02/06-23:25:20 | Phase 2 | < 16 , 79 > NI_MINUS   | 88
17/02/06-23:25:20 | Phase 2 | < 16 , 79 > h_plus   | 0.387127272727273
17/02/06-23:25:20 | Phase 2 | < 16 , 79 > fraction   | 1.125
17/02/06-23:25:20 | Phase 2 | < 16 , 79 > h_minus   | 0.435518181818182
17/02/06-23:25:20 | Phase 2 | < 16 , 79 > ACC[var,h]  | 0.945707070707071
17/02/06-23:25:20 | Phase 2 | < 16 , 79 > Zeros   | 0.0758675203850348, 0.766708304731475
17/02/06-23:25:20 | Phase 2 | < 16 , 79 > Num zeros  | 2
17/02/06-23:25:20 | Phase 2 | < 16 , 80 > NI_PLUS   | 99
17/02/06-23:25:20 | Phase 2 | < 16 , 80 > NI_MINUS   | 88
17/02/06-23:25:20 | Phase 2 | < 16 , 80 > h_plus   | 0.392087878787879
17/02/06-23:25:20 | Phase 2 | < 16 , 80 > fraction   | 1.125
17/02/06-23:25:20 | Phase 2 | < 16 , 80 > h_minus   | 0.441098863636364
17/02/06-23:25:21 | Phase 2 | < 16 , 80 > ACC[var,h]  | 0.968434343434343
17/02/06-23:25:21 | Phase 2 | < 16 , 80 > Zeros   | 0.0716574310706988, 0.769946028248671
17/02/06-23:25:21 | Phase 2 | < 16 , 80 > Num zeros  | 2
17/02/06-23:25:21 | Phase 2 | < 16 , 81 > NI_PLUS   | 99
17/02/06-23:25:21 | Phase 2 | < 16 , 81 > NI_MINUS   | 88
17/02/06-23:25:21 | Phase 2 | < 16 , 81 > h_plus   | 0.397048484848485
17/02/06-23:25:21 | Phase 2 | < 16 , 81 > fraction   | 1.125
17/02/06-23:25:21 | Phase 2 | < 16 , 81 > h_minus   | 0.446679545454545
17/02/06-23:25:22 | Phase 2 | < 16 , 81 > ACC[var,h]  | 0.968434343434343
17/02/06-23:25:22 | Phase 2 | < 16 , 81 > Zeros   | 0.0674405650506197, 0.772953770913516
17/02/06-23:25:22 | Phase 2 | < 16 , 81 > Num zeros  | 2
17/02/06-23:25:22 | Phase 2 | < 16 , 82 > NI_PLUS   | 99
17/02/06-23:25:22 | Phase 2 | < 16 , 82 > NI_MINUS   | 88
17/02/06-23:25:22 | Phase 2 | < 16 , 82 > h_plus   | 0.402009090909091
17/02/06-23:25:22 | Phase 2 | < 16 , 82 > fraction   | 1.125
17/02/06-23:25:22 | Phase 2 | < 16 , 82 > h_minus   | 0.452260227272727
17/02/06-23:25:23 | Phase 2 | < 16 , 82 > ACC[var,h]  | 0.968434343434343
17/02/06-23:25:23 | Phase 2 | < 16 , 82 > Zeros   | 0.0632171421584992, 0.775905563557212
17/02/06-23:25:23 | Phase 2 | < 16 , 82 > Num zeros  | 2
17/02/06-23:25:23 | Phase 2 | < 16 , 83 > NI_PLUS   | 99
17/02/06-23:25:23 | Phase 2 | < 16 , 83 > NI_MINUS   | 88
17/02/06-23:25:23 | Phase 2 | < 16 , 83 > h_plus   | 0.406969696969697
17/02/06-23:25:23 | Phase 2 | < 16 , 83 > fraction   | 1.125
17/02/06-23:25:23 | Phase 2 | < 16 , 83 > h_minus   | 0.457840909090909
17/02/06-23:25:24 | Phase 2 | < 16 , 83 > ACC[var,h]  | 0.968434343434343
17/02/06-23:25:24 | Phase 2 | < 16 , 83 > Zeros   | 0.0589873731416297, 0.779051511119458
17/02/06-23:25:24 | Phase 2 | < 16 , 83 > Num zeros  | 2
17/02/06-23:25:24 | Phase 2 | < 16 , 84 > NI_PLUS   | 99
17/02/06-23:25:24 | Phase 2 | < 16 , 84 > NI_MINUS   | 88
17/02/06-23:25:24 | Phase 2 | < 16 , 84 > h_plus   | 0.411930303030303
17/02/06-23:25:24 | Phase 2 | < 16 , 84 > fraction   | 1.125
17/02/06-23:25:24 | Phase 2 | < 16 , 84 > h_minus   | 0.463421590909091
17/02/06-23:25:24 | Phase 2 | < 16 , 84 > ACC[var,h]  | 0.987373737373737
17/02/06-23:25:24 | Phase 2 | < 16 , 84 > Zeros   | 0.0547514601083216, 0.782219211872769
17/02/06-23:25:24 | Phase 2 | < 16 , 84 > Num zeros  | 2
